,year,title,album,artist,lyrics
193,1974-01-17,Hazel,Planet Waves,Bob Dylan,"[Verse 1]
Hazel, dirty-blonde hair
I wouldn’t be ashamed to be seen with you anywhere
You got something I want plenty of
Ooh, a little touch of your love

[Verse 2]
Hazel, stardust in your eye
You’re going somewhere and so am I
I’d give you the sky high above
Ooh, for a little touch of your love

[Verse 3]
Oh no, I don’t need any reminder
To know how much I really care
But it’s just making me blinder and blinder
Because I’m up on a hill and still you’re not there

[Verse 4]
Hazel, you called and I came
Now don’t make me play this waiting game
You’ve got something I want plenty of
Ooh, a little touch of your love"
194,1981-08-10,Heart of Mine,Shot of Love,Bob Dylan,"[Verse 1]
Heart of mine be still
You can play with fire but you’ll get the bill
Don’t let her know
Don’t let her know that you love her
Don’t be a fool, don’t be blind
Heart of mine

[Verse 2]
Heart of mine go back home
You got no reason to wander, you got no reason to roam
Don’t let her see
Don’t let her see that you need her
Don’t put yourself over the line
Heart of mine

[Verse 3]
Heart of mine go back where you been
It’ll only be trouble for you if you let her in
Don’t let her hear
Don’t let her hear you want her
Don’t let her think you think she’s fine
Heart of mine

[Verse 4]
Heart of mine you know that she’ll never be true
She’ll only give to others the love that she’s gotten from you
Don’t let her know
Don’t let her know where you’re going
Don’t untie the ties that bind
Heart of mine

[Verse 5]
Heart of mine so malicious and so full of guile
Give you an inch and you’ll take a mile
Don’t let yourself fall
Don’t let yourself stumble
If you can’t do the time, don’t do the crime
Heart of mine"
195,,Hero Blues,"The Bootleg Series, Vol 9: The Witmark Demos: 1962-1964",Bob Dylan,"[Verse 1]
Yes, the gal I got
I swear she’s the screaming end
She wants me to be a hero
So she can tell all her friends

[Verse 2]
Well, she begged, she cried
She pleaded with me all last night
Well, she begged, she cried
She pleaded with me all last night
She wants me to go out
And find somebody to fight

[Verse 3]
She reads too many books
She got new movies inside her head
She reads too many books
She got movies inside her head
She wants me to walk out running
She wants me to crawl back dead

[Verse 4]
You need a different kinda man, babe
One that can grab and hold your heart
Need a different kind of man, babe
One that can hold and grab your heart
You need a different kind of man, babe
You need Napoleon Boneeparte

[Verse 5]
Well, when I’m dead
No more good times will I crave
When I’m dead
No more good times will I crave
You can stand and shout hero
All over my lonesome grave"
196,,Hiding Too Long,,Bob Dylan,"Come you phoney super patriotic people that say
That hatin' and fearing is my only way
That this here country has got to be
You're thinkin' of yourselves, you ain't thinkin' of me

You're not thinkin' of any George Washington
You're not thinkin' of any Thomas Jefferson
But you say that you are and you lie and mislead
You use their names for aims, for your selfish greed

Don't speak to me of your patriotism
When you throw the Southern black boy in prison
An' you say that the only good niggers are the ones that have died
Don't think I'll ever stand on your side

Though you make it so hard for me to love
My face will never feel the slap of your glove
My cards will never buy..
My hands will never buy the cards that you play
My feet will never walk down the road that you lay

Get out in the open, stop standin' afar
Let the whole world see what a hypocrit you are
I ain't jokin' and it ain't no gag
You bin hidin' too long behind the American flag"
197,1997-09-30,Highlands,Time Out of Mind,Bob Dylan,"[Verse 1]
Well my heart’s in the Highlands gentle and fair
Honeysuckle blooming in the Wildwood air
Bluebells blazing where the Aberdeen waters flow
Well my heart’s in the Highland
I’m gonna go there when I feel good enough to go

[Verse 2]
Windows were shaking’ all night in my dreams
Everything was exactly the way that it seems
Woke up this morning and I looked at the same old page
Same ol’ rat race
Life in the same oil’ cage

[Verse 3]
I don’t want nothing from anyone, ain’t that much to take
Wouldn’t know the difference between a real blonde and a fake
Feel like a prisoner in a world of mystery
I wish someone would come
And push back the clock for me

[Verse 4]
Well my heart’s in the Highlands wherever I roam
That’s where I’ll be when I get called home
The wind, it whispers to the buckeyed trees in rhyme
Well my heart’s in the Highland
I can only get there one step at a time

[Verse 5]
I’m listening to Neil Young, I gotta turn up the sound
Someone’s always yelling turn it down
Feel like I’m drifting
Drifting from scene to scene
I’m wondering what in the devil could it all possibly mean?

[Verse 6]
Insanity is smashing up against my soul
You can say I was on anything but a roll
If I had a conscience, well, I just might blow my top
What would I do with it anyway
Maybe take it to the pawn shop

[Verse 7]
My heart’s in the Highlands at the break of dawn
By the beautiful lake of the Black Swan
Big white clouds like chariots that swing down low
Well my heart’s in the Highlands
Only place left to go

[Verse 8]
I’m in Boston town, in some restaurant
I got no idea what I want
Well, maybe I do but I’m just really not sure
Waitress comes over
Nobody in the place but me and her

[Verse 9]
It must be a holiday, there’s nobody around
She studies me closely as I sit down
She got a pretty face and long white shiny legs
She says, “What’ll it be?”
I say, “I don’t know, you got any soft boiled eggs?”

[Verse 10]
She looks at me, says, “I’d bring you some
But we’re out of ’m, you picked the wrong time to come”
Then she says, “I know you’re an artist, draw a picture of me!”
I say, “I would if I could, but
I don’t do sketches from memory”

[Verse 11]
“Well,” she says, “I’m right here in front of you, or haven’t you looked?”
I say, “All right, I know, but I don’t have my drawing book!”
She gives me a napkin, she says, “You can do it on that”
I say, “Yes I could, but
I don’t know where my pencil is at!”

[Verse 12]
She pulls one out from behind her ear
She says, “All right now, go ahead, draw me, I’m standing right here”
I make a few lines and I show it for her to see
Well she takes the napkin and throws it back
And says, “That don’t look a thing like me!”

[Verse 13]
I said, “Oh, kind Miss, it most certainly does”
She says, “You must be joking’.” I say, “I wish I was!”
Then she says, “You don’t read women authors, do you?”
Least that’s what I think I hear her say
“Well,” I say, “how would you know and what would it matter anyway?”

[Verse 14]
“Well,” she says, “you just don’t seem like you do!”
I said, “You’re way wrong”
She says, “Which ones have you read then?” I say, “I read Erica Jong!”
She goes away for a minute
And I slide up out of my chair
I step outside back to the busy street but nobody’s going anywhere

[Verse 15]
Well my heart’s in the Highlands with the horses and hounds
Way up in the border country, far from the towns
With the twang of the arrow and a snap of the bow
My heart’s in the Highlands
Can’t see any other way to go

[Verse 16]
Every day is the same thing out the door
Feel further away than ever before
Some things in life, it gets too late to learn
Well, I’m lost somewhere
I must have made a few bad turns

[Verse 17]
I see people in the park forgetting their troubles and woes
They’re drinking and dancing, wearing bright-colored clothes
All the young men with their young women looking so good
Well, I’d trade places with any of them
In a minute, if I could

[Verse 18]
I’m crossing the street to get away from a mangy dog
Talking to myself in a monologue
I think what I need might be a full-length leather coat
Somebody just asked me
If I registered to vote

[Verse 19]
The sun is beginning to shine on me
But it’s not like the sun that used to be
The party’s over and there’s less and less to say
I got new eyes
Everything looks far away

[Verse 20]
Well, my heart’s in the Highlands at the break of day
Over the hills and far away
There’s a way to get there and I’ll figure it out somehow
But I’m already there in my mind
And that’s good enough for now"
198,,Highlands (live),,Bob Dylan,"Well my heart's in the Highlands, gentle and fair
Honeysuckle blooming in the wildwood air
Bluebelles blazing where the Aberdeen waters flow
Well my heart's in the Highland
I'm gonna go there when I feel good enough to go

Windows were shakin' all night in my dreams
Everything was exactly the way that it seems
Woke up this morning and I looked at the same old page
Same ol' rat race
Life in the same ol' cage

I don't want nothing from anyone, ain't that much to take
Wouldn't know the difference between a real blonde and a fake
Feel like a prisoner in a world of mystery
I wish someone would come
And push back the clock for me

Well, my heart's in the Highlands wherever I roam
That's where I'll be when I get called home
The wind, it whispers to the buckeye trees in rhyme
Well my heart's in the Highland
I can only get there one step at a time

I'm listening to Neil Young, I gotta turn up the sound
Someone's always yelling, ""Turn it down!""
Feel like I'm drifting
Drifting from scene the scene
I'm wondering what in the devil could it all possibly mean?

Insanity is smashing up against my soul
You can say I was on anything but a roll
If I had a conscience, well I just might blow my top
What would I do with it anyway?
Maybe take it to the pawn shop

My heart's in the Highlands at the break of dawn
By the beautiful lake of the Black Swan
Big white clouds, like chariots that swing down low
Well my heart's in the Highlands
Only place left to go

I'm in Boston town, in some restaurant
I got no idea what I want
Well, maybe I do but I'm just really not sure
Waitress comes over
Nobody in the place but me and her

Well, it must be a holiday, there's nobody around
She studies me closely as I sit down
She got a pretty face and long white shiny legs
I say, ""Tell me what I want.""
She say, ""You probably want hard boiled eggs.""

I said, ""That's right, bring me some.""
She says, ""We ain't got any. You picked the wrong time to come""
Then she says, ""I know you're an artist, draw a picture of me!""
I say, ""I would if I could, but
I don't do sketches from memory.""

""Well,"" she says, ""I'm right here in front of you or haven't you looked?""
I say, ""All right, I know, but I don't have my drawing book!""
She gives me a napkin, she says, ""You can do it on that.""
I say, ""Yes I could but
I don't know where my pencil is at!""

She pulls one out from behind her ear
She says, ""All right now, go ahead, draw me, I'm standing right here.""
I make a few lines, and I show it for her to see
Well she takes a napkin and throws it back
And says, ""That don't look a thing like me!""

I said, ""Oh, kind miss, it most certainly does.""
She say, ""You must be jokin.'"" I say, ""I wish I was!""
Then she says, ""You don't read women authors, do you?""
At least that's what I think I hear her say
Well I say, ""How would you know and what would it matter anyway?""

Well, she says, ""You just don't seem like you do!""
I said, ""You're way wrong.""
She says, ""Which ones have you read then?"" I say, ""I read Erica Jong!""
She goes away for a minute and I slide out out of my chair
I step outside back to the busy street, but nobody's going anywhere

Well my heart's in the Highlands, with the horses and hounds
Way up in the border country, far from the towns
With the twang of the arrow and a snap of the bow
My heart's in the Highlands
Can't see any other way to go

Every day is the same thing out the door
Feel further away then ever before
Some things in life, it gets too late to learn
Well, I'm lost somewhere
I must have made a few bad turns

I see people in the park forgetting their troubles and woes
They're drinking and dancing, wearing bright colored clothes
All the young men with their young women looking so good
Well, I'd trade places with any of 'em
In a minute, if I could

I'm crossing the street to get away from a mangy dog
Talking to myself in a monologue
I think what I need might be a full length leather coat
Somebody just asked me
If I'm registered to vote

The sun is beginning to shine on me
But it's not like the sun that used to be
The party's over and there's less and less to say
I got new eyes
Everything looks far away

Well, my heart's in the Highlands at the break of day
Over the hills and far away
There's a way to get there and I'll figure it out somehow
But I'm already there in my mind
And that's good enough for now"
199,,High Water,Dylan,Bob Dylan,"High water risin'
Risin' night and day
All the gold and silver
Are being stolen away

Big Joe Turner lookin' East and West
From the dark room of his mind
He made it to Kansas City
Twelfth Street and Vine

Nothing standing there
High water everywhere

High water risin'
The shacks are slidin' down
Folks lose their possessions
Folks are leaving town

Bertha Mason shook it, broke it
Then she hung it on a wall
Says, ""You're dancin' with whom they tell you to
Or you don't dance at all.""

It's tough out there
High water everywhere

I got a cravin' love for blazing speed
Got a hopped up Mustang Ford
Jump into the wagon, love
Throw your panties overboard

I can write you poems
Make a strong man lose his mind
I'm no pig without a wig
I hope you treat me kind

Things are breakin' up out there
High water everywhere

High water risin'
Six inches 'bove my head
Coffins droppin' in the street
Like balloons made out of lead

Water pourin' into Vicksburg
Don't know what I'm going to do
""Don't reach out for me,"" she said
""Can't you see I'm drownin' too?""

It's rough out there
High water everywhere

Well, George Lewis told the Englishman
The Italian and the Jew
""You can't open your mind, boys
To every conceivable point of view.""

They got Charles Darwin trapped out there on Highway Five
Judge says to the High Sheriff
""I want him dead or alive

Either one, I don't care.""
High Water everywhere

The Cuckoo is a pretty bird
She warbles as she flies
I'm preachin' the Word of God
I'm puttin' out your eyes

I asked Fat Nancy for something to eat
She said, ""Take it off the shelf
As great as you are, man
You'll never be greater than yourself.""

I told her I didn't really care
High water everywhere

I'm getting' up in the morning
I believe I'll dust my broom
Keeping away from the women
I'm givin' 'em lots of room

Thunder rolling over Clarksdale
Everything is looking blue
I just can't be happy, love
Unless you're happy too

It's bad out there
High water everywhere"
200,,Highway 51 Blues,,Bob Dylan,"Highway 51 runs right by my baby's door
Highway 51 runs right by my baby's door
If I don't get the girl I'm loving
Won't go down to Highway 51 no more

Well, I know that highway like I know my hand
Yes, I know that highway like I know the back of my hand
Running from up Wisconsin way down to no man's land

Well, if I should die before my time should come
And if I die before my time should come
Won't you bury my body out on the Highway 51

Highway 51 runs right by my baby's door
I said, Highway 51 runs right by my baby's door
If I don't get the girl I'm loving
Won't go own to Highway 51 no more"
201,1965-08-30,Highway 61 Revisited,Highway 61 Revisited,Bob Dylan,"Oh God said to Abraham, “Kill me a son”
Abe said, “Man, you must be puttin' me on”
God say, “No.”
Abe say, “What?”
God say, “You can do what you want, Abe, but
The next time you see me comin' you better run”
Well Abe says, “Where you want this killin' done?”
God says, “Out on Highway 61”

Well Georgia Sam he had a bloody nose
Welfare Department they wouldn’t give him no clothes
He asked poor Howard where can I go
Howard said there’s only one place I know
Sam said tell me quick man I got to run
Old Howard just pointed with his gun
And said ""That way, down Highway 61""

Well Mack the Finger said to Louie the King
I got forty red, white and blue shoestrings
And a thousand telephones that don’t ring
Do you know where I can get rid of these things?
And Louie the King said ""Let me think for a minute son""
And he said ""Yes, I think it can be easily done
Just take everything down to Highway 61""

Now the fifth daughter on the twelfth night
Told the first father that things weren’t right
""My complexion"" she says ""is much too white""
He said ""Come here and step into the light""
He says ""Hmm you’re right
Let me tell the second mother this has been done""
But the second mother was with the seventh son
And they were both out on Highway 61

Now the rovin' gambler he was very bored
Tryin' to create a next world war
He found a promoter who nearly fell off the floor
He said ""I never engaged in this kind of thing before
But yes I think it can be very easily done
We’ll just put some bleachers out in the sun
And have it on Highway 61"""
202,,Highway 61 Revisited (alternate take),,Bob Dylan,"Oh, God said to Abraham, ""Kill me a son""
Abe say, ""Man, you must be puttin' me on""
God say, ""No,"" Abe say, ""What?""
God say, ""You can do what you want Abe, but
The next time you see me comin', you better run""

Well, Abe said, ""Where do you want this killin' done?""
God said, ""Out on Highway 61""

Well, Georgia Sam, he had a bloody nose
Welfare Department, they wouldn't give him no clothes
He asked poor Howard, ""Where can I go?""
Howard said, ""There's only one place I know""
Sam said, ""Tell me quick, man, I got to run""

Oh, Howard just pointed with his gun
And said, ""That way down on Highway 61""

Well, Mack the Finger said to Louie the King
""I got forty red white and blue shoe strings
And a thousand telephones that don't ring
Do you know where I can get rid of these things?""
And Louie the King said, ""Let me think for a minute, son""

And he said, ""Yes, I think it can be easily done
Just take everything down to Highway 61""

Now the fifth daughter on the twelfth night
Told the first father that things weren't right
""My complexion,"" she says, ""is much too white""
He said, ""Come here and step into the light"" he says, ""Hmm, you're right
Let me tell the second mother this has been done""

But the second mother was with the seventh son
And they were both out on Highway 61

Now the rovin' gambler, he was very bored
Tryin' to create a next world war
He found a promoter who nearly fell off the floor
He said, ""I never engaged in this kind of thing before
But yes, I think it can be very easily done

We'll just put some bleachers out in the sun
And have it on Highway 61"""
203,,Hiram Hubbard,,Bob Dylan,"Hiram Hubbard wasn't guilty
I've heard a great many say
Hiram Hubbard wasn't guilty
I've heard a great many say
He was not in this county
He was forty miles away

But they took him 'cross the mountain
And they whomped him on the hill
Yes, they took him on the mountain
And they whomped him on the hill
It was there that he pleaded
Oh, please, let me make my will

But Hiram Hubbard wasn't guilty
I've heard a great many say
Hiram Hubbard wasn't guilty
I've heard a great many say
He was not in this county
He was forty miles away

But they took him down to Danville
And they throwed him in jail
Yes, they took him down to Danville
And they throwed him in jail
And it was then nobody sought him
Nobody could go his bail

But Hiram Hubbard wasn't guilty
I've heard a great many say
Hiram Hubbard wasn't guilty
I've heard a great many say
He was not in this county
He was forty miles away

But they took him out at midnight
And they strapped him to a tree
Yes, they took him out at midnight
And they strapped him to a tree
It was there that they killed him
With rifle bullets three

But Hiram Hubbard was not guilty
Lord, I heard a great many say
Hiram Hubbard wasn't guilty
I heard a great many say
He was not in this county
He was forty miles away"
204,2001-09-11,Honest With Me,Love and Theft,Bob Dylan,"Well, I’m stranded in the city that never sleeps
Some of these women they just give me the creeps
I’m avoidin’ the Southside the best I can
These memories I got, they can strangle a man

Well I came ashore in the dead of the night
Lot of things can get in the way when you’re tryin’ to do what’s right
You don’t understand it—my feelings for you
You’d be honest with me if only you knew

I’m not sorry for nothin’ I’ve done
I’m glad I fought—I only wish we’d won
The Siamese twins are comin’ to town
People can’t wait—they’re gathered around

When I left my home the sky split open wide
I never wanted to go back there—I’d rather have died
You don’t understand it—my feelings for you
You’d be honest with me if only you knew

My woman got a face like a teddy bear
She’s tossin’ a baseball bat in the air
The meat is so tough you can’t cut it with a sword
I’m crashin’ my car, trunk first into the boards

You say my eyes are pretty and my smile is nice
Well, I’ll sell it to ya at a reduced price
You don’t understand it—my feelings for you
You’d be honest with me, if only you knew

Some things are too terrible to be true
I won’t come here no more if it bothers you
The Southern Pacific leaving me at nine forty-five
I’m having a hard time believin’ some people were ever alive

I’m stark naked, but I don’t care
I’m going off into the woods, I’m huntin’ bare
You don’t understand it—my feelings for you
Well, you’d be honest with me if only you knew

I’m here to create the new imperial empire
I’m going to do whatever circumstances require
I care so much for you—didn’t think that I could
I can’t tell my heart that you’re no good

Well, my parents they warned me not to waste my years
And I still got their advice oozing out of my ears
You don’t understand it—my feelings for you
Well, you’d be honest with me if only you knew"
205,,Honest With Me (feat. Larry Campbell),,Bob Dylan,"Well, I'm stranded in the city that never sleeps
Some of these women they just give me the creeps
I'm avoidin' the south side the best I can
These memories I got, they can strangle a man
Well, I came ashore in the dead of the night
Lot of things can get in the way when you're tryin' to do what's right

You don't understand it, my feelin' for you
You'd be honest with me if you only knew

I'm not sorry for nothing I've done
I'm glad I fought, I only wish we'd won
The Siamese twins are comin' to town
People can't wait, they've gathered around
When I left my home the sky split open wide
I never wanted to go back there, I'd rather have died

You don't understand it, my feelin' for you
You'd be honest with me if only you knew

My woman got a face like a teddy bear
She's tossin' a baseball bat in the air
The meat is so tough you can't cut it with a sword
I'm crashin' my car trunk first into the board
They say that my eyes are pretty and my smile is nice
Well, I'll sell it to ya at a reduced price

You don't understand it, my feeling for you
You'd be honest with me if only you knew

Some things are too terrible to be true
I won't come here no more if it's botherin' you
There's a Southern Pacific leaving at 9:45
I'm havin' a hard time, believin' some people would ever arrive
I'm stark naked but I don't care
I'm goin' off into the woods, I'm huntin' bear

You don't understand it, my feeling for you
Well, you'd be honest with me if only you knew

I'm here to create the new imperial empire
I'm gonna do whatever circumstances require
I care so much for you, didn't think I could
I can't tell my heart that you're no good
Well my parents, they warned me not to risk my years
And I still got their advice oozing out of my ears

You don't understand it, my feeling for you
Well, you'd be honest with me if only you knew"
206,,Honey Babe,,Bob Dylan,"Honey babe, I'm tired of you
You don't treat me like you used to do
You know you know I love you anyhow
Honey babe it's all over now

Well all the stars ??
Will give me ten dollars, will give me nine
You don't do me like you used to do
Honey babe, it's all over you"
207,1963-05-27,"Honey, Just Allow Me One More Chance",The Freewheelin' Bob Dylan,Bob Dylan,"[Verse 1]
Honey, just allow me one more chance
To get along with you
Honey, just allow me one more chance
I'll do anything for you
Well, I’m a-walking down the road
With my head in my hand
I’m looking for a woman
Needs a worried man
Just a-one kind favor I ask you
Loan me just a one more chance

[Verse 2]
Honey, just allow me one more chance
To ride your airplane
Honey, just allow me one more chance
To ride your passenger train
Well, I’ve been looking all over
For a girl like you
I can’t find no better
So you’ll have to do
There's just-a one kind favor I ask you
Loan me just-a one more chance

[Verse 3]
Honey, just allow me one more chance
To get along with you
Honey, just allow me one more chance
I'll do anything for you
Well, looking for a woman
That ain't got no man
Is just looking for a needle
That's lost in the sand
Just-a one kind favor I ask you
Loan me just-a one more chance"
208,,"Honey, just allow me one more chance - mono version",,Bob Dylan,"Honey, just allow me one more chance
To get along with you
Honey, just allow me one more chance
I'll do anything for you

Well, I'm a-walkin' down the road with my head in my hand
I'm lookin' for a woman needs a worried man
Just-a one kind favor I ask you
Allow me just one more chance

Honey, just allow me one more chance
To ride your aeroplane
Honey, just allow me one more chance
To ride your passenger train

Well, I've been lookin' all over for a gal like you
I can't find nobody, so you'll have to do
There's just one kind favor I'll ask you
Allow me just one more chance

Honey, just allow me one more chance
To get along with you
Honey, just allow me one more chance
I'll do anything for you

Well, lookin' for a woman that ain't got no man
Is just lookin' for a needle that is lost in the sand
Just one kind favor I ask you
Allow me just one more chance"
209,,House Carpenter,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Bob Dylan,"[Verse 1]
Well met, well met, my own true love
Well met, well met, cried she
I've just returned from the salt, salt sea
And it's all for the love of thee

[Verse 2]
I could have married a King's daughter there
She would have married me
But I have forsaken my King's daughter there
It's all for the love of thee

[Verse 3]
Well, if you could have married a King's daughter there
I'm sure you're the one to blame
For I am married to a house carpenter
And I'm sure he's a fine young man

[Verse 4]
Forsake, forsake your house carpenter
And come away with me
I'll take you where the green grass grows
On the shores of sunny Italy

[Verse 5]
So up she picked her babies three
And gave them kisses, one, two, three
Saying ""take good care of your daddy while I'm gone
And keep him good company.""

[Verse 6]
Well, they were sailing about two weeks
I'm sure it was not three
When the younger of the girls, she came on deck
Saying she wants company

[Verse 7]
""Well, are you weeping for your house and home?
Or are you weeping for your babies three?""
""Well, I'm not weeping for my house carpenter
I'm weeping for my babies three.""

[Verse 8]
Oh what are those hills yonder, my love
They look as white as snow
Those are the hill of heaven, my love
You and I'll never know

[Verse 9]
Oh what are those hills yonder, my love
They look as dark as night
Those are the hills of hellfire my love
Where you and I will unite

[Verse 10]
Oh twice around went the gallant ship
I'm sure it was not three
When the ship all of a sudden, it sprung a leak
And it drifted to the bottom of the sea"
210,2007-04-05,Huck's Tune,"The Bootleg Series, Vol 8: Tell Tale Signs",Bob Dylan,"[Verse 1]
Well I wandered alone through a desert of stone
And I dreamt of my future wife
My sword's in my hand and I'm next in command
In this version of death called life
My plate and my cup are right straight up
I took a rose from the hand of a child
When I kiss your lips, the honey drips
But I'm gonna have to put you down for a while

[Verse 2]
Every day we meet on any old street
And you're in your girlish prime
The short and the tall are coming to the ball
I go there all the time
Behind every tree, there's something to see
The river is wider than a mile
I tried you twice, you can't be nice
I'm gonna have to put you down for a while

[Verse 3]
Here come the nurse with money in her purse
Here come the ladies and men
You push it all in and you've no chance to win
You play 'em on down to the end
I'm laying in the sand getting a sunshine tan
Moving along riding in style
From my toes to my head, you knock me dead
I'm gonna have to put you down for a while

[Verse 4]
I count the years and I shed no tears
I'm blinded to what might have been
Nature's voice makes my heart rejoice
Play me the wild song of the wind
I found hopeless love in the room above
When the sun and the weather were mild
You're as fine as wine, I ain't handing you no line
But I'm gonna have to put you down for a while

[Verse 5]
All the merry little elves can go hang themselves
My faith is as cold as can be
I'm stacked high to the roof and I'm not without proof
If you don't believe me, come see
You think I'm blue, I think so too
In my words, you'll find no guile
The game's gotten old, the deck's gone cold
And I'm gonna have to put you down for a while

[Outro]
The game's gotten old, the deck's gone cold
I'm gonna have to put you down for a while"
211,,Huck's tune - from lucky you soundtrack,,Bob Dylan,"Well, I wandered alone through a desert of stone
And I dreamt of my future wife
My sword's in my hand and I'm next in command
In this version of death called life

My plate and my cup are right straight up
I took a rose from the hand of a child
When I kiss your lips, the honey drips
I'm gonna have to put you down for a while

Everyday we meet on any old street
And you're in your girlish prime
The short and the tall are coming to the ball
I go there all the time

Behind every tree, there's something to see
The river is wider than a mile
I tried you twice, you can't be nice
I'm gonna have to put you down for a while

Here come the nurse with money in her purse
Here come the ladies and men
You push it all in and you've no chance to win
You play 'em on down to the end

I'm laying in the sand, getting a sunshine tan
Moving along, riding in style
From my toes to my head you knock me dead
I'm gonna have to put you down for a while

I count the years and I shed no tears
I'm blinded to what might have been
Nature's voice makes my heart rejoice
Play me the wild song of the wind

I found hopeless love in the room above
When the sun and the weather were mild
You're as fine as wine, I ain't handing you no line
I'm gonna have to put you down for a while

All the merry little elves can go hang themselves
My faith is as cold as can be
I'm stacked high to the roof and I'm not without proof
If you don't believe me, come see

You think I'm blue, I think so too
In my words you'll find no guile
The game's gotten old, the deck's gone cold
And I'm gonna have to put you down for a while

The game's gotten old, the deck's gone cold
I'm gonna have to put you down for a while"
212,1976-01-05,Hurricane,Desire,Bob Dylan,"[Verse 1]
Pistol shots ring out in the barroom night
Enter Patty Valentine from the upper hall
She sees the bartender in a pool of blood
Cries out, “My God, they killed them all!”
Here comes the story of the Hurricane
The man the authorities came to blame
For something that he never done
Put in a prison cell, but one time he could-a been
The champion of the world

[Verse 2]
Three bodies lying there does Patty see
And another man named Bello, moving around mysteriously
“I didn’t do it,” he says, and he throws up his hands
“I was only robbing the register, I hope you understand
I saw them leaving,” he says, and he stops
“One of us had better call up the cops”
And so Patty calls the cops
And they arrive on the scene with their red lights flashing
In the hot New Jersey night

[Verse 3]
Meanwhile, far away in another part of town
Rubin Carter and a couple of friends are driving around
Number one contender for the middleweight crown
Had no idea what kinda shit was about to go down
When a cop pulled him over to the side of the road
Just like the time before and the time before that
In Paterson that’s just the way things go
If you’re black you might as well not show up on the street
Unless you want to draw the heat

[Verse 4]
Alfred Bello had a partner and he had a rap for the cops
Him and Arthur Dexter Bradley were just out prowling around
He said, “I saw two men running out, they looked like middleweights
They jumped into a white car with out-of-state plates”
And Miss Patty Valentine just nodded her head
Cop said, “Wait a minute, boys, this one’s not dead”
So they took him to the infirmary
And though this man could hardly see
They told him that he could identify the guilty men

[Verse 5]
Four in the morning and they haul Rubin in
Take him to the hospital and they bring him upstairs
The wounded man looks up through his one dying eye
Says, “Why did you bring him in here for? He is not the guy!”
Yes, here’s the story of the Hurricane
The man the authorities came to blame
For something that he never done
Put in a prison cell, but one time he could-a been
The champion of the world

[Verse 6]
Four months later, the ghettos are in flame
Rubin’s in South America, fighting for his name
While Arthur Dexter Bradley’s still in the robbery game
And the cops are putting the screws to him, looking for somebody to blame
“Remember that murder that happened in a bar?”
“Remember you said you saw the getaway car?”
“You think you’d like to play ball with the law?”
“Think it might-a been that fighter that you saw running that night?”
“Don’t forget that you are white”

[Verse 7]
Arthur Dexter Bradley said, “I’m really not sure”
Cops said, “A poor boy like you could use a break
We got you for the motel job and we’re talking to your friend Bello
Now you don’t want to have to go back to jail, be a nice fellow
You’ll be doing society a favor
That sonofabitch is brave and getting braver
We want to put his ass in stir
We want to pin this triple murder on him
He ain’t no Gentleman Jim”

[Verse 8]
Rubin could take a man out with just one punch
But he never did like to talk about it all that much
It’s my work, he’d say, and I do it for pay
And when it’s over I’d just as soon go on my way
Up to some paradise
Where the trout streams flow and the air is nice
And ride a horse along a trail
But then they took him to the jailhouse
Where they try to turn a man into a mouse

[Verse 9]
All of Rubin’s cards were marked in advance
The trial was a pig-circus, he never had a chance
The judge made Rubin’s witnesses drunkards from the slums
To the white folks who watched he was a revolutionary bum
And to the black folks he was just a crazy nigga
No one doubted that he pulled the trigger
And though they could not produce the gun
The D.A. said he was the one who did the deed
And the all-white jury agreed

[Verse 10]
Rubin Carter was falsely tried
The crime was murder “one,” guess who testified?
Bello and Bradley and they both baldly lied
And the newspapers, they all went along for the ride
How can the life of such a man
Be in the palm of some fool’s hand?
To see him obviously framed
Couldn’t help but make me feel ashamed to live in a land
Where justice is a game

[Verse 11]
Now all the criminals in their coats and their ties
Are free to drink martinis and watch the sun rise
While Rubin sits like Buddha in a ten-foot cell
An innocent man in a living hell
That’s the story of the Hurricane
But it won’t be over till they clear his name
And give him back the time he’s done
Put in a prison cell, but one time he could-a been
The champion of the world"
